evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0107,screenshot,.reference-local/screenshots/EV-0107.png,ed0f0fc3ffe889413b88fe4da7260de7bc2c88b50bc6ba0c9d4200204d03c4fb,2026-07-18T18:32:08.7448871Z,"raw screenshot capture",pass,captured
EV-0108,ui_dump,.reference-local/ui-dumps/EV-0108.xml,6a1c3cd05029d75bb28127e47ae1058b4d1f924b8de98c589ed49d2b1e4a6f19,2026-07-18T18:32:11.1005717Z,"raw UI dump capture",pass,captured
EV-0109,screenshot,.reference-local/screenshots/EV-0109.png,5d06556af999f9452bf4fec9c4205999fb756755af90a1ab6274721dbfc376eb,2026-07-18T18:32:13.2908274Z,"raw screenshot capture",pass,captured
EV-0110,ui_dump,.reference-local/ui-dumps/EV-0110.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:32:15.6516552Z,"raw UI dump capture",pass,captured
EV-0111,screenshot,.reference-local/screenshots/EV-0111.png,8739f57d5ebdc44d3509992e382473548603242eff514e094e99d7998c221f94,2026-07-18T18:32:48.8730613Z,"raw screenshot capture",pass,captured
EV-0112,ui_dump,.reference-local/ui-dumps/EV-0112.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:32:51.1795247Z,"raw UI dump capture",pass,captured
EV-0113,screenshot,.reference-local/screenshots/EV-0113.png,8446ed9cd10ba38ce149a6597a5572989ac204fb075c138e7fbcefb3436256b4,2026-07-18T18:32:52.9760866Z,"raw screenshot capture",pass,captured
EV-0114,ui_dump,.reference-local/ui-dumps/EV-0114.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:32:55.3368022Z,"raw UI dump capture",pass,captured
EV-0115,screenshot,.reference-local/screenshots/EV-0115.png,f52a1d8db70eaca65bb57dab1b911c7966e562b8c17c85fedde60ea338694f71,2026-07-18T18:33:22.5828508Z,"raw screenshot capture",pass,captured
EV-0116,ui_dump,.reference-local/ui-dumps/EV-0116.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:33:24.8193126Z,"raw UI dump capture",pass,captured
EV-0117,screenshot,.reference-local/screenshots/EV-0117.png,279610040610d1ce8bf2f31bf7c51bc5a834cc44d971bb6778f1f215168ef360,2026-07-18T18:33:27.2939345Z,"raw screenshot capture",pass,captured
EV-0118,ui_dump,.reference-local/ui-dumps/EV-0118.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:33:29.6837608Z,"raw UI dump capture",pass,captured
EV-0119,screenshot,.reference-local/screenshots/EV-0119.png,279610040610d1ce8bf2f31bf7c51bc5a834cc44d971bb6778f1f215168ef360,2026-07-18T18:34:03.1492457Z,"raw screenshot capture",pass,captured
EV-0120,ui_dump,.reference-local/ui-dumps/EV-0120.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:34:05.3434732Z,"raw UI dump capture",pass,captured
EV-0121,screenshot,.reference-local/screenshots/EV-0121.png,cd221b14ade6f7db256f628db120d6b82bba55d074de676e4f75d40e19cac64e,2026-07-18T18:34:09.1966169Z,"raw screenshot capture",pass,captured
EV-0122,ui_dump,.reference-local/ui-dumps/EV-0122.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:34:11.4847257Z,"raw UI dump capture",pass,captured
EV-0123,screenshot,.reference-local/screenshots/EV-0123.png,29a57e547b7284262eabcf54f4c5ab59f8a193b6f6a19a4e774f2081aebf103e,2026-07-18T18:34:46.2465460Z,"raw screenshot capture",pass,captured
EV-0124,ui_dump,.reference-local/ui-dumps/EV-0124.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:34:48.4484796Z,"raw UI dump capture",pass,captured
EV-0125,screenshot,.reference-local/screenshots/EV-0125.png,6ba6e054de83edb316f26d155bd625082d865852d63679584a42c0421c3ed183,2026-07-18T18:34:50.4858044Z,"raw screenshot capture",pass,captured
EV-0126,ui_dump,.reference-local/ui-dumps/EV-0126.xml,66946bea9d476c313f6e55de6b433d24f0af34c962f6e157cf68b4c22893ae52,2026-07-18T18:34:52.6537506Z,"raw UI dump capture",pass,captured
EV-0127,screenshot,.reference-local/screenshots/EV-0127.png,94855089196847cbfe65b58a7c029fe9aff9fd33ba29a47eee7d704ed24caab7,2026-07-18T18:35:24.2616452Z,"raw screenshot capture",pass,captured
EV-0128,ui_dump,.reference-local/ui-dumps/EV-0128.xml,e55233eed3dcc1c9b772f48621b61c43b9163b859e4907f117bd89a6f7675892,2026-07-18T18:35:26.6058990Z,"raw UI dump capture",pass,captured
EV-0129,screenshot,.reference-local/screenshots/EV-0129.png,c1b1640a90b2ac60b581d040c48e9c886d6aff750a34f24fceb8311b89e569d8,2026-07-18T18:35:46.3968965Z,"raw screenshot capture",pass,captured
EV-0130,ui_dump,.reference-local/ui-dumps/EV-0130.xml,6a1c3cd05029d75bb28127e47ae1058b4d1f924b8de98c589ed49d2b1e4a6f19,2026-07-18T18:35:48.6123785Z,"raw UI dump capture",pass,captured
EV-0131,screenshot,.reference-local/screenshots/EV-0131.png,d41d038e10d69dcac16e75c6fa7b31d673fcb3ac2430e3373813839fd7f6d3ef,2026-07-18T18:35:50.7173793Z,"raw screenshot capture",pass,captured
EV-0132,ui_dump,.reference-local/ui-dumps/EV-0132.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:35:53.0253357Z,"raw UI dump capture",pass,captured
EV-0133,screenshot,.reference-local/screenshots/EV-0133.png,17c4dcd2acb2be53419a8c9abc82f8aef15f239f7e7cf1f0c7303ac5066b05c6,2026-07-18T18:36:26.2232466Z,"raw screenshot capture",pass,captured
EV-0134,ui_dump,.reference-local/ui-dumps/EV-0134.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:36:28.4584951Z,"raw UI dump capture",pass,captured
EV-0135,screenshot,.reference-local/screenshots/EV-0135.png,baf775b5d5494ee41aacda920e35274e4e978100d05829adf5451d8b186d5e69,2026-07-18T18:36:30.7194718Z,"raw screenshot capture",pass,captured
EV-0136,ui_dump,.reference-local/ui-dumps/EV-0136.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:36:33.0120433Z,"raw UI dump capture",pass,captured
EV-0137,screenshot,.reference-local/screenshots/EV-0137.png,8f2168555cc2905282224d003e38b44614ac8ac9947db5dee4dae3125e85fbb3,2026-07-18T18:37:00.8017143Z,"raw screenshot capture",pass,captured
EV-0138,ui_dump,.reference-local/ui-dumps/EV-0138.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:37:02.9792755Z,"raw UI dump capture",pass,captured
EV-0139,screenshot,.reference-local/screenshots/EV-0139.png,3e24e2a3150e3c950e3d32dbfb18cd4120e3ab752c88e8e4e1fabad3870d112b,2026-07-18T18:37:05.2695965Z,"raw screenshot capture",pass,captured
EV-0140,ui_dump,.reference-local/ui-dumps/EV-0140.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:37:07.5610444Z,"raw UI dump capture",pass,captured
EV-0141,screenshot,.reference-local/screenshots/EV-0141.png,baabf91cf657f9973151b4c38f9b7b6b13f5578d3e53d9c4b72f25abfa2ffa23,2026-07-18T18:37:53.4976538Z,"raw screenshot capture",pass,captured
EV-0142,ui_dump,.reference-local/ui-dumps/EV-0142.xml,28d52ef7b3db03260fe3c9f702cf1a7bf93c206fdfeed10c02aa2e24cd3d9383,2026-07-18T18:37:55.6649162Z,"raw UI dump capture",pass,captured
